"TenantId","TimeGenerated","AccountName","Location","Protocol","OperationName","AuthenticationType","StatusCode","StatusText","DurationMs","ServerLatencyMs","Uri","CallerIpAddress","CorrelationId","SchemaVersion","OperationVersion","AuthenticationHash","RequesterObjectId","RequesterTenantId","RequesterAppId","RequesterAudience","RequesterTokenIssuer","RequesterUpn","AuthorizationDetails","UserAgentHeader","ReferrerHeader","ClientRequestId","Etag","ServiceType","OperationCount","RequestHeaderSize","RequestBodySize","ResponseHeaderSize","ResponseBodySize","RequestMd5","ResponseMd5","LastModifiedTime","ConditionsUsed","ContentLengthHeader","Category","TlsVersion","SasExpiryStatus","SourceSystem","Type","_ResourceId","RequesterUserName","SmbPrimarySID","SmbTreeConnectID","SmbPersistentHandleID","SmbVolatileHandleID","SmbMessageID","SmbCreditsConsumed","SmbCommandDetail","SmbFileId","SmbSessionID","SmbCommandMajor","SmbCommandMinor","HKTimestamp"
"aabecabb-3f4e-4d65-8a7c-17434a094cb6","2022-09-17T16:52:32.441Z","hk01easpsharedsqlads01","East Asia","HTTPS","GetBlobProperties","AccountKey","404","BlobNotFound","2","2","https://hk01easpsharedsqlads01.blob.core.windows.net:443/bootdiagnostics-hkazeulap-db1c0d7a-0ba5-4160-ad31-61f81f900352/HKAZEULAP0026.db1c0d7a-0ba5-4160-ad31-61f81f900352.serialconsole-connectionmetadata","20.195.85.180","15877859-401e-0051-77b5-ca0ead000000","1.0","2021-08-06","key1(C014C69CDDB4BC0EF6954A1B65942197660D26501445F738923EBDF45571E586)","","","","","","",,"azsdk-js-storageblob/12.11.0 (NODE-VERSION v14.20.0; Linux 5.4.0-1073-azure)","","8ce9d829-0069-489c-9997-8dc02fc653d8","","blob",,"598",,"210",,"","",,"",,"StorageRead","TLS 1.2","","Azure","StorageBlobLogs","/subscriptions/9b491dd6-598e-498c-98a0-d3bbd2290821/resourcegroups/rg-hk01-eastasia-p-sqllogs-common01/providers/microsoft.storage/storageaccounts/hk01easpsharedsqlads01/blobservices/default","","","","","","",,"","","",,"","2022-09-18T00:52:32.441Z"
"aabecabb-3f4e-4d65-8a7c-17434a094cb6","2022-09-17T16:52:32.395Z","hk01easpsharedsqlads01","East Asia","HTTPS","GetContainerProperties","AccountKey","200","Success","6","6","https://hk01easpsharedsqlads01.blob.core.windows.net:443/bootdiagnostics-hkazeulap-db1c0d7a-0ba5-4160-ad31-61f81f900352?restype=container","20.195.85.180","15877855-401e-0051-75b5-ca0ead000000","1.0","2021-08-06","key1(C014C69CDDB4BC0EF6954A1B65942197660D26501445F738923EBDF45571E586)","","","","","","",,"azsdk-js-storageblob/12.11.0 (NODE-VERSION v14.20.0; Linux 5.4.0-1073-azure)","","d2910c53-6d42-4d69-9207-a3eed2a3de51","""0x8D8F9CFDA81ED1C""","blob",,"531",,"489",,"","","2021-04-07T14:17:19Z","",,"StorageRead","TLS 1.2","","Azure","StorageBlobLogs","/subscriptions/9b491dd6-598e-498c-98a0-d3bbd2290821/resourcegroups/rg-hk01-eastasia-p-sqllogs-common01/providers/microsoft.storage/storageaccounts/hk01easpsharedsqlads01/blobservices/default","","","","","","",,"","","",,"","2022-09-18T00:52:32.395Z"
"aabecabb-3f4e-4d65-8a7c-17434a094cb6","2022-09-15T18:24:15.737Z","hk01easpsharedsqlads01","East Asia","HTTPS","GetBlobProperties","AccountKey","404","BlobNotFound","2","2","https://hk01easpsharedsqlads01.blob.core.windows.net:443/bootdiagnostics-hkazeslap-a5984d6d-e7dd-44b3-a66b-944ce30af3ae/HKAZESLAP0036.a5984d6d-e7dd-44b3-a66b-944ce30af3ae.serialconsole-connectionmetadata","20.195.85.180","d590039d-701e-0017-7130-c93a2a000000","1.0","2021-08-06","key1(C014C69CDDB4BC0EF6954A1B65942197660D26501445F738923EBDF45571E586)","","","","","","",,"azsdk-js-storageblob/12.11.0 (NODE-VERSION v14.20.0; Linux 5.4.0-1073-azure)","","76975202-3a4c-43eb-a1df-edd63c0a763c","","blob",,"598",,"210",,"","",,"",,"StorageRead","TLS 1.2","","Azure","StorageBlobLogs","/subscriptions/9b491dd6-598e-498c-98a0-d3bbd2290821/resourcegroups/rg-hk01-eastasia-p-sqllogs-common01/providers/microsoft.storage/storageaccounts/hk01easpsharedsqlads01/blobservices/default","","","","","","",,"","","",,"","2022-09-16T02:24:15.737Z"
"aabecabb-3f4e-4d65-8a7c-17434a094cb6","2022-09-15T18:24:15.692Z","hk01easpsharedsqlads01","East Asia","HTTPS","GetContainerProperties","AccountKey","200","Success","6","6","https://hk01easpsharedsqlads01.blob.core.windows.net:443/bootdiagnostics-hkazeslap-a5984d6d-e7dd-44b3-a66b-944ce30af3ae?restype=container","20.195.85.180","d5900398-701e-0017-6e30-c93a2a000000","1.0","2021-08-06","key1(C014C69CDDB4BC0EF6954A1B65942197660D26501445F738923EBDF45571E586)","","","","","","",,"azsdk-js-storageblob/12.11.0 (NODE-VERSION v14.20.0; Linux 5.4.0-1073-azure)","","9c2fcf5b-ac21-4877-b446-66b6564b952b","""0x8D8FA7D3A310662""","blob",,"531",,"489",,"","","2021-04-08T10:58:22Z","",,"StorageRead","TLS 1.2","","Azure","StorageBlobLogs","/subscriptions/9b491dd6-598e-498c-98a0-d3bbd2290821/resourcegroups/rg-hk01-eastasia-p-sqllogs-common01/providers/microsoft.storage/storageaccounts/hk01easpsharedsqlads01/blobservices/default","","","","","","",,"","","",,"","2022-09-16T02:24:15.692Z"
"aabecabb-3f4e-4d65-8a7c-17434a094cb6","2022-09-15T18:17:05.662Z","hk01easpsharedsqlads01","East Asia","HTTPS","GetBlobProperties","AccountKey","404","BlobNotFound","2","2","https://hk01easpsharedsqlads01.blob.core.windows.net:443/bootdiagnostics-hkazeslap-a5984d6d-e7dd-44b3-a66b-944ce30af3ae/HKAZESLAP0036.a5984d6d-e7dd-44b3-a66b-944ce30af3ae.serialconsole-connectionmetadata","20.195.85.180","14e1a979-801e-0071-452f-c9750a000000","1.0","2021-08-06","key1(C014C69CDDB4BC0EF6954A1B65942197660D26501445F738923EBDF45571E586)","","","","","","",,"azsdk-js-storageblob/12.11.0 (NODE-VERSION v14.20.0; Linux 5.4.0-1073-azure)","","f8a4973f-471e-45ed-b351-fe43da6c75dc","","blob",,"598",,"210",,"","",,"",,"StorageRead","TLS 1.2","","Azure","StorageBlobLogs","/subscriptions/9b491dd6-598e-498c-98a0-d3bbd2290821/resourcegroups/rg-hk01-eastasia-p-sqllogs-common01/providers/microsoft.storage/storageaccounts/hk01easpsharedsqlads01/blobservices/default","","","","","","",,"","","",,"","2022-09-16T02:17:05.662Z"
"aabecabb-3f4e-4d65-8a7c-17434a094cb6","2022-09-15T18:17:05.614Z","hk01easpsharedsqlads01","East Asia","HTTPS","GetContainerProperties","AccountKey","200","Success","6","6","https://hk01easpsharedsqlads01.blob.core.windows.net:443/bootdiagnostics-hkazeslap-a5984d6d-e7dd-44b3-a66b-944ce30af3ae?restype=container","20.195.85.180","14e1a96d-801e-0071-3e2f-c9750a000000","1.0","2021-08-06","key1(C014C69CDDB4BC0EF6954A1B65942197660D26501445F738923EBDF45571E586)","","","","","","",,"azsdk-js-storageblob/12.11.0 (NODE-VERSION v14.20.0; Linux 5.4.0-1073-azure)","","d367c57f-4c14-429c-ac87-03b2d8157705","""0x8D8FA7D3A310662""","blob",,"531",,"489",,"","","2021-04-08T10:58:22Z","",,"StorageRead","TLS 1.2","","Azure","StorageBlobLogs","/subscriptions/9b491dd6-598e-498c-98a0-d3bbd2290821/resourcegroups/rg-hk01-eastasia-p-sqllogs-common01/providers/microsoft.storage/storageaccounts/hk01easpsharedsqlads01/blobservices/default","","","","","","",,"","","",,"","2022-09-16T02:17:05.614Z"
"aabecabb-3f4e-4d65-8a7c-17434a094cb6","2022-09-15T17:50:07.855Z","hk01easpsharedsqlads01","East Asia","HTTPS","PutPage","AccountKey","201","Success","4","4","https://hk01easpsharedsqlads01.blob.core.windows.net:443/bootdiagnostics-hkazeslap-a5984d6d-e7dd-44b3-a66b-944ce30af3ae/HKAZESLAP0036.a5984d6d-e7dd-44b3-a66b-944ce30af3ae.serialconsole-connectionmetadata?comp=page","20.195.85.180","dcc96198-a01e-002b-552b-c913ed000000","1.0","2021-08-06","key1(C014C69CDDB4BC0EF6954A1B65942197660D26501445F738923EBDF45571E586)","","","","","","",,"azsdk-js-storageblob/12.11.0 (NODE-VERSION v14.20.0; Linux 5.4.0-1089-azure)","","794b1811-6a69-4a49-bc33-1233c18cbd55","""0x8DA9742BA79BA14""","blob",,"702","512","328",,"","","2022-09-15T17:50:07Z","","512","StorageWrite","TLS 1.2","","Azure","StorageBlobLogs","/subscriptions/9b491dd6-598e-498c-98a0-d3bbd2290821/resourcegroups/rg-hk01-eastasia-p-sqllogs-common01/providers/microsoft.storage/storageaccounts/hk01easpsharedsqlads01/blobservices/default","","","","","","",,"","","",,"","2022-09-16T01:50:07.855Z"
"aabecabb-3f4e-4d65-8a7c-17434a094cb6","2022-09-15T17:50:07.814Z","hk01easpsharedsqlads01","East Asia","HTTPS","PutBlob","AccountKey","201","Success","6","2","https://hk01easpsharedsqlads01.blob.core.windows.net:443/bootdiagnostics-hkazeslap-a5984d6d-e7dd-44b3-a66b-944ce30af3ae/HKAZESLAP0036.a5984d6d-e7dd-44b3-a66b-944ce30af3ae.serialconsole-connectionmetadata","20.195.85.180","dcc9618d-a01e-002b-4b2b-c913ed000000","1.0","2021-08-06","key1(C014C69CDDB4BC0EF6954A1B65942197660D26501445F738923EBDF45571E586)","","","","","","",,"azsdk-js-storageblob/12.11.0 (NODE-VERSION v14.20.0; Linux 5.4.0-1089-azure)","","ba9fdb1f-31cc-4d0c-b72c-ca284bdbae94","""0x8DA9742BA73526D""","blob",,"661",,"272",,"","1B2M2Y8AsgTpgAmY7PhCfg==","2022-09-15T17:50:07Z","",,"StorageWrite","TLS 1.2","","Azure","StorageBlobLogs","/subscriptions/9b491dd6-598e-498c-98a0-d3bbd2290821/resourcegroups/rg-hk01-eastasia-p-sqllogs-common01/providers/microsoft.storage/storageaccounts/hk01easpsharedsqlads01/blobservices/default","","","","","","",,"","","",,"","2022-09-16T01:50:07.814Z"
"aabecabb-3f4e-4d65-8a7c-17434a094cb6","2022-09-15T17:50:07.771Z","hk01easpsharedsqlads01","East Asia","HTTPS","GetBlobProperties","AccountKey","404","BlobNotFound","3","3","https://hk01easpsharedsqlads01.blob.core.windows.net:443/bootdiagnostics-hkazeslap-a5984d6d-e7dd-44b3-a66b-944ce30af3ae/HKAZESLAP0036.a5984d6d-e7dd-44b3-a66b-944ce30af3ae.serialconsole-connectionmetadata","20.195.85.180","dcc96188-a01e-002b-472b-c913ed000000","1.0","2021-08-06","key1(C014C69CDDB4BC0EF6954A1B65942197660D26501445F738923EBDF45571E586)","","","","","","",,"azsdk-js-storageblob/12.11.0 (NODE-VERSION v14.20.0; Linux 5.4.0-1089-azure)","","76785d1b-ca4f-4493-983d-cf405888e99b","","blob",,"598",,"210",,"","",,"",,"StorageRead","TLS 1.2","","Azure","StorageBlobLogs","/subscriptions/9b491dd6-598e-498c-98a0-d3bbd2290821/resourcegroups/rg-hk01-eastasia-p-sqllogs-common01/providers/microsoft.storage/storageaccounts/hk01easpsharedsqlads01/blobservices/default","","","","","","",,"","","",,"","2022-09-16T01:50:07.771Z"
"aabecabb-3f4e-4d65-8a7c-17434a094cb6","2022-09-15T17:50:07.724Z","hk01easpsharedsqlads01","East Asia","HTTPS","GetContainerProperties","AccountKey","200","Success","6","6","https://hk01easpsharedsqlads01.blob.core.windows.net:443/bootdiagnostics-hkazeslap-a5984d6d-e7dd-44b3-a66b-944ce30af3ae?restype=container","20.195.85.180","dcc9617e-a01e-002b-3f2b-c913ed000000","1.0","2021-08-06","key1(C014C69CDDB4BC0EF6954A1B65942197660D26501445F738923EBDF45571E586)","","","","","","",,"azsdk-js-storageblob/12.11.0 (NODE-VERSION v14.20.0; Linux 5.4.0-1089-azure)","","ff5dbdda-b5dc-4897-87f6-39f766389673","""0x8D8FA7D3A310662""","blob",,"531",,"489",,"","","2021-04-08T10:58:22Z","",,"StorageRead","TLS 1.2","","Azure","StorageBlobLogs","/subscriptions/9b491dd6-598e-498c-98a0-d3bbd2290821/resourcegroups/rg-hk01-eastasia-p-sqllogs-common01/providers/microsoft.storage/storageaccounts/hk01easpsharedsqlads01/blobservices/default","","","","","","",,"","","",,"","2022-09-16T01:50:07.724Z"
