"CallerIpAddress","AccountName","ServiceType","StatusText","_ResourceId","Count","AllowPublicAccess","IPwhitelist","VnetRules","PrivateEndpoint","Tags"
"18.191.115.70","hk01easpsharedsqlads01","file","Success","/subscriptions/9b491dd6-598e-498c-98a0-d3bbd2290821/resourcegroups/rg-hk01-eastasia-p-sqllogs-common01/providers/microsoft.storage/storageaccounts/hk01easpsharedsqlads01/fileservices/default","41","True","","","","
Key                          Value                        
---                          -----                        
CostCenter                   HK010331                     
ibm_imi_managed_env          P                            
ApplicationName              Infra. Service               
DataClassification           Confidential                 
ibm_imi_managed              Yes                          
BillingRoute                 AIA Hong Kong and Macau      
MaintenanceWindow            FR1 - Every Friday after 1900
BusinessUnit                 HK                           
ibm_imi_managedservices_tier Enterprise                   
ibm_imi_billing_plan         Monthly                      
AppMSPName                   Kyndryl                      
CreatedOnDate                01/05/2022 04:14:20          
InfraRemark2                 Infra > sqldb audit logs     


"
"13.59.164.228","hk01easpsharedsqlads01","file","Success","/subscriptions/9b491dd6-598e-498c-98a0-d3bbd2290821/resourcegroups/rg-hk01-eastasia-p-sqllogs-common01/providers/microsoft.storage/storageaccounts/hk01easpsharedsqlads01/fileservices/default","10","True","","","","
Key                          Value                        
---                          -----                        
CostCenter                   HK010331                     
ibm_imi_managed_env          P                            
ApplicationName              Infra. Service               
DataClassification           Confidential                 
ibm_imi_managed              Yes                          
BillingRoute                 AIA Hong Kong and Macau      
MaintenanceWindow            FR1 - Every Friday after 1900
BusinessUnit                 HK                           
ibm_imi_managedservices_tier Enterprise                   
ibm_imi_billing_plan         Monthly                      
AppMSPName                   Kyndryl                      
CreatedOnDate                01/05/2022 04:14:20          
InfraRemark2                 Infra > sqldb audit logs     


"
"3.16.7.30","hk01easpsharedsqlads01","file","Success","/subscriptions/9b491dd6-598e-498c-98a0-d3bbd2290821/resourcegroups/rg-hk01-eastasia-p-sqllogs-common01/providers/microsoft.storage/storageaccounts/hk01easpsharedsqlads01/fileservices/default","27","True","","","","
Key                          Value                        
---                          -----                        
CostCenter                   HK010331                     
ibm_imi_managed_env          P                            
ApplicationName              Infra. Service               
DataClassification           Confidential                 
ibm_imi_managed              Yes                          
BillingRoute                 AIA Hong Kong and Macau      
MaintenanceWindow            FR1 - Every Friday after 1900
BusinessUnit                 HK                           
ibm_imi_managedservices_tier Enterprise                   
ibm_imi_billing_plan         Monthly                      
AppMSPName                   Kyndryl                      
CreatedOnDate                01/05/2022 04:14:20          
InfraRemark2                 Infra > sqldb audit logs     


"
"20.205.157.119","hk01easpsharedsqlads01","file","Success","/subscriptions/9b491dd6-598e-498c-98a0-d3bbd2290821/resourcegroups/rg-hk01-eastasia-p-sqllogs-common01/providers/microsoft.storage/storageaccounts/hk01easpsharedsqlads01/fileservices/default","1","True","","","","
Key                          Value                        
---                          -----                        
CostCenter                   HK010331                     
ibm_imi_managed_env          P                            
ApplicationName              Infra. Service               
DataClassification           Confidential                 
ibm_imi_managed              Yes                          
BillingRoute                 AIA Hong Kong and Macau      
MaintenanceWindow            FR1 - Every Friday after 1900
BusinessUnit                 HK                           
ibm_imi_managedservices_tier Enterprise                   
ibm_imi_billing_plan         Monthly                      
AppMSPName                   Kyndryl                      
CreatedOnDate                01/05/2022 04:14:20          
InfraRemark2                 Infra > sqldb audit logs     


"
"100.112.100.30","hk01easpsharedsqlads01","blob","Success","/subscriptions/9b491dd6-598e-498c-98a0-d3bbd2290821/resourcegroups/rg-hk01-eastasia-p-sqllogs-common01/providers/microsoft.storage/storageaccounts/hk01easpsharedsqlads01/blobservices/default","345547","True","","","","
Key                          Value                        
---                          -----                        
CostCenter                   HK010331                     
ibm_imi_managed_env          P                            
ApplicationName              Infra. Service               
DataClassification           Confidential                 
ibm_imi_managed              Yes                          
BillingRoute                 AIA Hong Kong and Macau      
MaintenanceWindow            FR1 - Every Friday after 1900
BusinessUnit                 HK                           
ibm_imi_managedservices_tier Enterprise                   
ibm_imi_billing_plan         Monthly                      
AppMSPName                   Kyndryl                      
CreatedOnDate                01/05/2022 04:14:20          
InfraRemark2                 Infra > sqldb audit logs     


"
"100.112.100.30","hk01easpsharedsqlads01","blob","BlobNotFound","/subscriptions/9b491dd6-598e-498c-98a0-d3bbd2290821/resourcegroups/rg-hk01-eastasia-p-sqllogs-common01/providers/microsoft.storage/storageaccounts/hk01easpsharedsqlads01/blobservices/default","302","True","","","","
Key                          Value                        
---                          -----                        
CostCenter                   HK010331                     
ibm_imi_managed_env          P                            
ApplicationName              Infra. Service               
DataClassification           Confidential                 
ibm_imi_managed              Yes                          
BillingRoute                 AIA Hong Kong and Macau      
MaintenanceWindow            FR1 - Every Friday after 1900
BusinessUnit                 HK                           
ibm_imi_managedservices_tier Enterprise                   
ibm_imi_billing_plan         Monthly                      
AppMSPName                   Kyndryl                      
CreatedOnDate                01/05/2022 04:14:20          
InfraRemark2                 Infra > sqldb audit logs     


"
"100.72.178.43","hk01easpsharedsqlads01","blob","Success","/subscriptions/9b491dd6-598e-498c-98a0-d3bbd2290821/resourcegroups/rg-hk01-eastasia-p-sqllogs-common01/providers/microsoft.storage/storageaccounts/hk01easpsharedsqlads01/blobservices/default","589298","True","","","","
Key                          Value                        
---                          -----                        
CostCenter                   HK010331                     
ibm_imi_managed_env          P                            
ApplicationName              Infra. Service               
DataClassification           Confidential                 
ibm_imi_managed              Yes                          
BillingRoute                 AIA Hong Kong and Macau      
MaintenanceWindow            FR1 - Every Friday after 1900
BusinessUnit                 HK                           
ibm_imi_managedservices_tier Enterprise                   
ibm_imi_billing_plan         Monthly                      
AppMSPName                   Kyndryl                      
CreatedOnDate                01/05/2022 04:14:20          
InfraRemark2                 Infra > sqldb audit logs     


"
"3.16.7.30","hk01easpsharedsqlads01","blob","Success","/subscriptions/9b491dd6-598e-498c-98a0-d3bbd2290821/resourcegroups/rg-hk01-eastasia-p-sqllogs-common01/providers/microsoft.storage/storageaccounts/hk01easpsharedsqlads01/blobservices/default","52","True","","","","
Key                          Value                        
---                          -----                        
CostCenter                   HK010331                     
ibm_imi_managed_env          P                            
ApplicationName              Infra. Service               
DataClassification           Confidential                 
ibm_imi_managed              Yes                          
BillingRoute                 AIA Hong Kong and Macau      
MaintenanceWindow            FR1 - Every Friday after 1900
BusinessUnit                 HK                           
ibm_imi_managedservices_tier Enterprise                   
ibm_imi_billing_plan         Monthly                      
AppMSPName                   Kyndryl                      
CreatedOnDate                01/05/2022 04:14:20          
InfraRemark2                 Infra > sqldb audit logs     


"
"10.0.0.84","hk01easpsharedsqlads01","blob","Success","/subscriptions/9b491dd6-598e-498c-98a0-d3bbd2290821/resourcegroups/rg-hk01-eastasia-p-sqllogs-common01/providers/microsoft.storage/storageaccounts/hk01easpsharedsqlads01/blobservices/default","66","True","","","","
Key                          Value                        
---                          -----                        
CostCenter                   HK010331                     
ibm_imi_managed_env          P                            
ApplicationName              Infra. Service               
DataClassification           Confidential                 
ibm_imi_managed              Yes                          
BillingRoute                 AIA Hong Kong and Macau      
MaintenanceWindow            FR1 - Every Friday after 1900
BusinessUnit                 HK                           
ibm_imi_managedservices_tier Enterprise                   
ibm_imi_billing_plan         Monthly                      
AppMSPName                   Kyndryl                      
CreatedOnDate                01/05/2022 04:14:20          
InfraRemark2                 Infra > sqldb audit logs     


"
"10.0.0.4","hk01easpsharedsqlads01","blob","Success","/subscriptions/9b491dd6-598e-498c-98a0-d3bbd2290821/resourcegroups/rg-hk01-eastasia-p-sqllogs-common01/providers/microsoft.storage/storageaccounts/hk01easpsharedsqlads01/blobservices/default","33","True","","","","
Key                          Value                        
---                          -----                        
CostCenter                   HK010331                     
ibm_imi_managed_env          P                            
ApplicationName              Infra. Service               
DataClassification           Confidential                 
ibm_imi_managed              Yes                          
BillingRoute                 AIA Hong Kong and Macau      
MaintenanceWindow            FR1 - Every Friday after 1900
BusinessUnit                 HK                           
ibm_imi_managedservices_tier Enterprise                   
ibm_imi_billing_plan         Monthly                      
AppMSPName                   Kyndryl                      
CreatedOnDate                01/05/2022 04:14:20          
InfraRemark2                 Infra > sqldb audit logs     


"
